Equipo,Derribos Tkl,Derribos TklG,Derribos 3.º def.,Derribos 3.º cent.,Derribos 3.º ataq.,Desafíos Tkl,Desafíos Att,Desafíos Tkl%,Desafíos Pérdida,Bloqueos,Bloqueos Dis,Bloqueos Pases,Intercepciones,Tkl+Int,Desp.,Err,Temporada
Alavés,19.4,12.1,9.11,8.08,2.21,9.16,19.1,47.9,9.95,10.1,2.53,7.53,8.13,27.5,24.2,0.26,2024-2025
Athletic Club,15.2,9.08,6.32,6.63,2.24,7.79,15.2,51.1,7.45,9.29,1.89,7.39,9.05,24.2,24.0,0.66,2024-2025
Atlético Madrid,16.3,9.87,8.03,6.26,2.00,8.39,16.5,50.9,8.11,9.42,2.55,6.87,6.84,23.1,21.5,0.66,2024-2025
Barcelona,14.2,8.74,4.89,6.45,2.82,7.13,13.7,52.1,6.55,8.66,1.58,7.08,5.97,20.1,15.8,0.37,2024-2025
Betis,17.0,10.4,7.13,7.18,2.66,9.00,16.9,53.1,7.95,10.7,2.97,7.71,9.37,26.3,23.9,0.50,2024-2025
Celta Vigo,14.6,8.95,6.79,5.71,2.11,7.53,15.2,49.7,7.63,9.08,2.39,6.68,7.42,22.0,21.8,0.79,2024-2025
Espanyol,16.8,10.4,10.0,5.53,1.32,8.16,16.1,50.8,7.89,11.4,4.08,7.37,8.29,25.1,29.8,0.55,2024-2025
Getafe,17.0,10.3,7.55,7.32,2.11,8.76,17.5,50.1,8.74,10.8,2.21,8.61,7.26,24.2,28.0,0.39,2024-2025
Girona,15.0,9.16,7.05,5.76,2.16,7.68,14.7,52.4,6.97,8.61,2.74,5.87,7.34,22.3,19.0,0.89,2024-2025
Las Palmas,16.3,9.74,8.11,6.66,1.53,8.08,15.6,51.9,7.50,11.4,3.66,7.76,8.45,24.7,25.6,0.74,2024-2025
Leganés,16.7,10.1,7.92,6.58,2.16,7.76,15.8,49.2,8.00,11.5,4.13,7.34,8.74,25.4,31.6,0.47,2024-2025
Mallorca,15.4,9.50,8.03,5.55,1.79,6.76,13.2,51.4,6.39,10.2,4.03,6.21,8.58,23.9,30.6,0.45,2024-2025
Osasuna,16.2,9.61,7.79,6.29,2.08,8.18,16.3,50.3,8.08,10.2,2.68,7.53,7.00,23.2,24.2,0.42,2024-2025
Rayo Vallecano,16.5,10.4,8.63,5.74,2.11,8.13,17.5,46.5,9.34,11.7,3.37,8.29,8.79,25.3,25.6,0.58,2024-2025
Real Madrid,15.4,9.45,7.74,5.50,2.18,6.95,12.8,54.3,5.84,9.29,2.76,6.53,8.71,24.1,16.7,0.50,2024-2025
Real Sociedad,17.1,10.6,8.13,6.42,2.53,8.11,15.2,53.2,7.13,11.3,3.16,8.11,7.45,24.5,24.0,0.55,2024-2025
Sevilla,16.9,10.3,8.45,6.24,2.26,8.21,14.7,55.7,6.53,9.58,2.32,7.26,9.66,26.6,24.3,0.45,2024-2025
Valencia,17.0,10.9,8.95,6.00,2.08,8.45,15.1,56.0,6.63,9.63,2.53,7.11,7.95,25.0,25.1,0.50,2024-2025
Valladolid,15.7,9.39,9.00,5.37,1.32,7.26,14.9,48.8,7.63,11.8,4.21,7.63,8.18,23.9,24.8,0.76,2024-2025
Villarreal,17.1,10.4,8.76,6.21,2.11,8.84,16.5,53.5,7.68,11.2,3.45,7.76,7.39,24.5,24.3,0.55,2024-2025
