Equipo,ACT,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Temporada
Alavés,18.2,12.2,2.50,0.68,1.08,1.26,0.39,1.61,1.03,0.08,0.08,0.18,0.24,0.00,2024-2025
Athletic Club,21.9,16.6,1.71,1.37,1.00,0.71,0.53,2.42,1.66,0.21,0.18,0.21,0.16,0.00,2024-2025
Atlético Madrid,21.7,17.3,1.29,1.03,1.11,0.63,0.39,3.24,2.63,0.03,0.18,0.18,0.13,0.08,2024-2025
Barcelona,31.7,24.4,1.58,2.08,1.87,1.39,0.37,4.53,3.34,0.13,0.45,0.26,0.32,0.03,2024-2025
Betis,24.8,18.9,1.63,1.55,1.26,1.05,0.45,2.63,1.89,0.16,0.11,0.24,0.21,0.03,2024-2025
Celta Vigo,20.8,16.0,1.08,1.11,1.50,0.79,0.32,2.58,2.03,0.03,0.13,0.21,0.18,0.00,2024-2025
Espanyol,16.6,11.3,1.92,0.95,0.92,1.18,0.32,1.79,1.08,0.21,0.08,0.13,0.26,0.03,2024-2025
Getafe,19.4,12.7,2.47,1.18,0.97,1.53,0.50,1.47,0.87,0.18,0.03,0.21,0.13,0.05,2024-2025
Girona,19.1,14.8,1.58,0.89,0.97,0.61,0.29,2.03,1.47,0.16,0.05,0.24,0.08,0.03,2024-2025
Las Palmas,19.5,14.3,1.71,1.03,1.03,1.21,0.24,1.79,1.42,0.05,0.05,0.13,0.11,0.03,2024-2025
Leganés,16.0,10.5,1.50,1.32,0.92,1.34,0.42,1.92,1.26,0.08,0.24,0.11,0.18,0.05,2024-2025
Mallorca,18.0,12.4,2.53,0.79,1.26,0.87,0.16,1.58,1.18,0.21,0.00,0.05,0.11,0.03,2024-2025
Osasuna,19.1,13.2,2.45,1.03,1.11,1.13,0.16,2.16,1.29,0.13,0.13,0.21,0.37,0.03,2024-2025
Rayo Vallecano,23.3,17.1,2.16,1.18,1.53,1.08,0.32,1.55,1.00,0.11,0.18,0.18,0.03,0.05,2024-2025
Real Madrid,30.5,22.6,2.21,2.42,1.84,1.03,0.39,3.61,2.58,0.24,0.29,0.26,0.21,0.03,2024-2025
Real Sociedad,17.9,13.0,1.95,1.00,0.89,0.82,0.32,1.55,1.11,0.13,0.13,0.05,0.13,0.00,2024-2025
Sevilla,21.5,15.7,1.82,1.58,1.29,0.82,0.34,1.84,1.53,0.11,0.08,0.11,0.03,0.00,2024-2025
Valencia,17.8,13.2,1.71,0.71,0.89,0.82,0.42,1.87,1.29,0.11,0.08,0.21,0.13,0.05,2024-2025
Valladolid,15.8,11.2,1.66,1.26,0.55,0.95,0.21,1.11,0.79,0.00,0.16,0.03,0.13,0.00,2024-2025
Villarreal,25.3,19.2,2.16,1.08,1.55,0.92,0.42,3.26,2.66,0.11,0.11,0.21,0.16,0.03,2024-2025
