Equipo,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Temporada
Alavés,277.2,388.1,71.4,5251.3,2233.4,0.53,0.67,0.68,-0.14,7.47,25.3,6.03,2.61,30.5,2024-2025
Athletic Club,359.6,457.2,78.6,6667.4,2385.4,1.05,0.97,0.87,0.09,9.24,33.8,7.21,2.37,41.6,2024-2025
Atlético Madrid,469.1,563.6,83.2,7768.8,2641.6,1.34,1.26,1.19,0.08,9.16,32.4,9.61,2.53,41.0,2024-2025
Barcelona,587.4,676.9,86.8,9787.2,3062.8,1.89,1.78,1.70,0.12,13.2,53.2,12.6,2.03,58.2,2024-2025
Betis,415.0,507.5,81.8,6966.8,2406.2,0.97,0.99,0.92,-0.01,11.0,29.7,8.66,1.97,39.1,2024-2025
Celta Vigo,468.4,559.3,83.7,8233.6,2741.6,1.05,1.01,0.97,0.04,8.92,37.5,7.89,1.39,43.7,2024-2025
Espanyol,278.4,368.3,75.6,5253.3,2105.9,0.71,0.64,0.62,0.07,6.74,20.3,5.37,2.13,26.3,2024-2025
Getafe,228.8,340.1,67.3,4450.7,1971.9,0.55,0.63,0.63,-0.08,7.79,25.2,5.95,2.74,25.8,2024-2025
Girona,480.9,563.2,85.4,8489.8,2650.8,0.82,0.83,0.98,-0.02,8.11,39.3,7.95,2.29,44.5,2024-2025
Las Palmas,377.7,479.2,78.8,6684.5,2428.7,0.71,0.69,0.70,0.02,8.00,27.9,6.47,2.08,31.8,2024-2025
Leganés,294.9,390.5,75.5,5310.7,2009.8,0.71,0.61,0.57,0.10,6.34,20.9,4.92,1.18,27.1,2024-2025
Mallorca,331.9,426.9,77.7,6114.9,2378.1,0.63,0.70,0.74,-0.07,7.42,25.6,6.29,2.95,31.2,2024-2025
Osasuna,320.6,421.8,76.0,6065.2,2437.5,0.74,0.78,0.88,-0.05,7.89,25.3,6.97,3.34,32.1,2024-2025
Rayo Vallecano,366.7,470.0,78.0,6509.4,2494.8,0.71,0.95,0.85,-0.24,9.84,28.4,6.37,2.24,35.8,2024-2025
Real Madrid,562.0,637.4,88.2,9375.4,2908.0,1.45,1.44,1.37,0.01,13.2,46.7,9.45,0.89,51.8,2024-2025
Real Sociedad,391.6,493.7,79.3,6894.1,2365.9,0.58,0.81,0.81,-0.23,7.47,28.6,6.37,1.68,35.3,2024-2025
Sevilla,378.8,473.6,80.0,6639.8,2326.8,0.84,0.81,0.64,0.03,9.34,28.2,5.50,1.58,31.3,2024-2025
Valencia,366.8,466.0,78.7,6494.7,2281.1,0.68,0.79,0.88,-0.11,7.45,29.2,6.68,2.39,35.3,2024-2025
Valladolid,317.2,404.9,78.3,6011.0,2200.8,0.39,0.68,0.64,-0.28,6.74,19.8,4.63,2.45,26.1,2024-2025
Villarreal,382.4,469.1,81.5,6915.8,2536.5,1.34,1.31,1.26,0.03,11.2,30.2,9.76,2.68,40.1,2024-2025
