Equipo,GC,PD,TL,TE,OG,PSxG,PSxG/SoT,PSxG+/-,Cmp,Int.,Att (GK),TI,Opp,Stp,Temporada
Alavés,1.26,0.29,0.05,0.11,0.05,1.21,0.29,0.00,9.50,23.1,22.9,2.16,14.5,0.95,2024-2025
Athletic Club,0.76,0.08,0.05,0.11,0.03,0.83,0.25,0.09,5.00,14.2,24.9,4.13,11.8,1.08,2024-2025
Atlético Madrid,0.79,0.13,0.03,0.08,0.05,0.68,0.19,-0.06,2.89,7.53,18.0,5.11,13.4,0.79,2024-2025
Barcelona,1.03,0.11,0.00,0.08,0.00,0.92,0.30,-0.10,1.63,4.53,30.0,4.76,9.37,0.39,2024-2025
Betis,1.32,0.11,0.05,0.21,0.03,1.29,0.33,0.00,3.03,9.89,27.0,4.66,13.6,0.79,2024-2025
Celta Vigo,1.50,0.08,0.00,0.24,0.05,1.29,0.32,-0.16,1.82,6.37,21.2,5.53,13.2,0.71,2024-2025
Espanyol,1.34,0.11,0.05,0.16,0.03,1.52,0.28,0.20,5.11,13.8,24.5,5.18,17.6,1.68,2024-2025
Getafe,1.03,0.21,0.00,0.13,0.00,1.11,0.29,0.08,7.89,21.0,18.7,1.79,12.6,0.66,2024-2025
Girona,1.58,0.08,0.03,0.18,0.03,1.39,0.30,-0.16,2.82,8.63,27.6,4.00,12.2,1.05,2024-2025
Las Palmas,1.61,0.13,0.00,0.11,0.08,1.68,0.31,0.15,5.08,15.4,31.7,5.13,14.8,0.58,2024-2025
Leganés,1.47,0.18,0.03,0.26,0.08,1.56,0.31,0.16,6.24,23.3,22.8,3.47,18.7,1.47,2024-2025
Mallorca,1.16,0.08,0.00,0.11,0.03,1.25,0.28,0.12,6.29,16.2,24.3,3.79,16.8,0.61,2024-2025
Osasuna,1.37,0.18,0.03,0.11,0.03,1.51,0.28,0.17,7.79,17.1,25.7,3.76,14.2,0.87,2024-2025
Rayo Vallecano,1.18,0.16,0.00,0.16,0.03,1.20,0.26,0.04,5.34,16.8,27.2,3.95,14.0,0.97,2024-2025
Real Madrid,1.00,0.08,0.00,0.18,0.03,0.94,0.28,-0.03,2.21,6.79,25.3,5.39,10.9,0.50,2024-2025
Real Sociedad,1.21,0.13,0.00,0.13,0.00,1.09,0.26,-0.12,4.92,13.0,28.2,3.21,12.3,0.79,2024-2025
Sevilla,1.45,0.13,0.08,0.11,0.03,1.27,0.29,-0.16,4.08,15.4,27.9,3.84,13.5,0.71,2024-2025
Valencia,1.42,0.16,0.00,0.11,0.08,1.33,0.30,-0.01,4.11,13.7,24.3,4.18,13.8,0.95,2024-2025
Valladolid,2.37,0.18,0.05,0.13,0.03,1.96,0.35,-0.38,5.32,14.5,27.4,4.39,15.3,1.03,2024-2025
Villarreal,1.34,0.18,0.05,0.16,0.03,1.17,0.25,-0.15,3.21,8.92,21.9,5.45,15.2,0.89,2024-2025
