Equipo,GC,DaPC,Salvadas,PG,PE,PP,PaC,TPint,PD,Temporada
Alavés,1.26,3.47,2.26,0.26,0.32,0.42,0.24,0.29,0.29,2024-2025
Athletic Club,0.76,2.97,2.18,0.50,0.34,0.16,0.39,0.13,0.08,2024-2025
Atlético Madrid,0.79,3.05,2.32,0.58,0.26,0.16,0.45,0.13,0.13,2024-2025
Barcelona,1.03,2.84,1.82,0.74,0.11,0.16,0.34,0.11,0.11,2024-2025
Betis,1.32,3.71,2.42,0.42,0.32,0.26,0.18,0.11,0.11,2024-2025
Celta Vigo,1.50,3.82,2.34,0.42,0.18,0.39,0.21,0.11,0.08,2024-2025
Espanyol,1.34,5.05,3.68,0.29,0.24,0.47,0.21,0.16,0.11,2024-2025
Getafe,1.03,3.32,2.26,0.29,0.24,0.47,0.24,0.24,0.21,2024-2025
Girona,1.58,4.32,2.68,0.29,0.21,0.50,0.21,0.16,0.08,2024-2025
Las Palmas,1.61,4.79,3.16,0.21,0.21,0.58,0.11,0.26,0.13,2024-2025
Leganés,1.47,4.61,3.21,0.24,0.34,0.42,0.29,0.21,0.18,2024-2025
Mallorca,1.16,4.34,3.21,0.34,0.24,0.42,0.24,0.08,0.08,2024-2025
Osasuna,1.37,4.92,3.58,0.32,0.42,0.26,0.24,0.18,0.18,2024-2025
Rayo Vallecano,1.18,4.03,2.82,0.34,0.34,0.32,0.26,0.21,0.16,2024-2025
Real Madrid,1.00,3.32,2.34,0.68,0.16,0.16,0.39,0.08,0.08,2024-2025
Real Sociedad,1.21,3.74,2.47,0.34,0.18,0.47,0.34,0.18,0.13,2024-2025
Sevilla,1.45,3.89,2.45,0.26,0.29,0.45,0.26,0.16,0.13,2024-2025
Valencia,1.42,3.89,2.50,0.29,0.34,0.37,0.21,0.24,0.16,2024-2025
Valladolid,2.37,5.37,3.03,0.11,0.11,0.79,0.13,0.18,0.18,2024-2025
Villarreal,1.34,4.21,2.89,0.53,0.26,0.21,0.18,0.21,0.18,2024-2025
