Equipo,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Att,Succ,Tkld,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Temporada
Alavés,501.8,49.4,152.7,227.2,126.6,18.2,12.6,4.87,6.45,240.2,1199.4,603.8,11.8,9.11,2.37,15.7,8.08,274.2,30.2,2024-2025
Athletic Club,572.7,49.6,164.6,271.9,141.6,20.0,20.8,8.63,10.2,299.2,1616.3,862.4,17.9,11.7,4.95,15.7,10.6,355.8,41.1,2024-2025
Atlético Madrid,668.1,61.4,210.9,302.4,159.8,22.6,16.8,7.26,8.03,416.6,2040.1,1087.0,20.0,15.2,4.39,14.2,7.24,466.0,40.9,2024-2025
Barcelona,784.3,48.9,171.5,393.8,224.6,31.8,23.9,12.0,9.87,475.7,2423.5,1300.9,22.6,17.6,6.26,15.2,8.32,583.9,57.9,2024-2025
Betis,628.2,59.3,196.5,277.5,160.2,24.2,19.0,8.21,9.05,366.1,1841.5,954.4,17.9,14.0,6.00,17.8,9.95,411.2,38.6,2024-2025
Celta Vigo,661.1,58.7,200.5,319.3,146.7,21.9,16.5,6.68,8.21,395.0,1990.7,1036.6,18.7,13.2,5.74,14.7,7.79,465.6,43.4,2024-2025
Espanyol,484.4,69.9,194.9,200.7,94.3,14.4,14.4,5.82,7.00,246.3,1391.4,744.2,13.1,9.45,2.87,14.8,6.34,276.1,26.1,2024-2025
Getafe,463.3,46.6,136.4,210.5,122.3,17.8,16.6,6.97,8.21,205.9,1059.5,500.9,9.68,8.18,2.76,18.9,9.39,226.6,25.4,2024-2025
Girona,660.2,66.2,206.0,303.5,155.6,20.9,16.7,7.66,7.26,402.0,2271.9,1160.7,20.1,14.6,4.74,13.7,8.21,474.7,44.3,2024-2025
Las Palmas,592.0,67.4,205.5,272.4,118.7,17.6,15.0,6.29,7.58,299.1,1499.4,752.7,13.1,9.11,2.97,14.4,7.24,374.3,31.5,2024-2025
Leganés,508.2,64.4,185.0,229.5,99.1,12.7,16.5,7.95,6.92,257.4,1257.3,632.4,11.0,9.58,2.76,15.1,8.26,292.8,26.9,2024-2025
Mallorca,543.4,68.4,188.6,244.7,115.6,16.7,15.3,6.71,6.84,288.0,1487.7,704.2,12.6,10.8,2.24,14.9,9.92,328.4,30.8,2024-2025
Osasuna,527.3,59.6,166.3,234.3,131.8,19.4,15.6,6.84,7.34,274.7,1430.7,711.1,14.9,11.2,3.53,14.0,7.71,317.2,31.7,2024-2025
Rayo Vallecano,588.7,67.3,205.2,245.8,143.6,18.7,17.0,7.53,8.00,317.6,1536.9,767.3,15.5,11.3,3.76,16.6,8.61,364.0,35.4,2024-2025
Real Madrid,743.5,62.9,201.6,336.7,211.8,31.1,23.1,10.8,10.1,470.9,2456.7,1325.2,25.9,18.3,9.58,13.9,7.63,558.5,51.4,2024-2025
Real Sociedad,606.0,59.9,189.7,283.4,138.0,19.7,17.3,7.76,8.08,329.8,1766.2,896.9,17.0,11.0,4.29,15.9,7.82,387.3,34.9,2024-2025
Sevilla,588.2,63.0,211.6,256.8,125.1,17.1,18.9,8.89,8.39,291.8,1529.5,782.1,15.6,10.4,4.18,15.9,8.58,374.1,30.6,2024-2025
Valencia,575.7,60.3,189.6,258.9,132.4,17.2,16.4,6.21,8.45,298.6,1562.5,812.6,15.1,10.9,3.21,14.1,8.95,363.2,34.9,2024-2025
Valladolid,513.3,70.6,214.7,214.6,89.3,13.8,16.4,7.61,7.00,254.7,1429.3,724.3,12.5,8.32,3.16,13.5,7.05,314.0,25.7,2024-2025
Villarreal,581.9,68.7,206.1,240.0,140.8,25.9,16.5,7.34,7.32,316.7,1668.0,908.9,18.2,13.2,5.32,14.7,7.61,378.5,39.7,2024-2025
