Equipo,Jugadores,Salario Semanal,Salario Anual,Temporada
Real Madrid,44,5504183,286217507,2024-2025
Barcelona,48,3878094,201660868,2024-2025
Atletico Madrid,47,2750882,143045841,2024-2025
Athletic Club,45,1197184,62253566,2024-2025
Sevilla,44,1184278,61582479,2024-2025
Betis,46,1015701,52816443,2024-2025
Villarreal,43,882815,45906369,2024-2025
Real Sociedad,48,848131,44102829,2024-2025
Girona,46,768682,39971464,2024-2025
Valencia,45,752550,39132611,2024-2025
Celta Vigo,42,657171,34172877,2024-2025
Las Palmas,49,585787,30460939,2024-2025
Getafe,39,468428,24358267,2024-2025
Mallorca,51,453708,23592812,2024-2025
Osasuna,38,451086,23456497,2024-2025
Rayo Vallecano,49,437576,22753955,2024-2025
Espanyol,43,419024,21789269,2024-2025
Alaves,42,384946,20017189,2024-2025
Valladolid,44,371637,19325133,2024-2025
Leganes,45,335542,17448195,2024-2025
