Equipo,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,Bloqueos,Temporada
Alavés,334.8,51.2,14.1,1.18,2.61,21.0,21.9,4.79,1.61,2.37,0.16,2.03,9.68,2024-2025
Athletic Club,408.2,47.3,12.4,1.26,3.05,20.3,22.0,5.08,1.92,2.13,0.03,1.79,7.89,2024-2025
Atlético Madrid,513.5,48.2,12.2,2.00,2.95,17.8,20.8,5.00,1.76,1.71,0.00,1.89,10.2,2024-2025
Barcelona,626.0,49.2,16.3,3.42,3.50,18.7,18.7,6.97,2.74,1.24,0.03,1.71,9.76,2024-2025
Betis,455.8,50.2,16.1,1.58,4.03,16.5,20.5,5.18,2.16,1.79,0.00,1.47,9.89,2024-2025
Celta Vigo,509.9,47.6,13.2,2.34,3.92,13.2,20.6,3.92,1.37,1.63,0.03,1.76,9.61,2024-2025
Espanyol,322.2,44.5,12.7,1.34,2.55,16.3,17.0,3.79,0.92,2.03,0.05,1.61,7.50,2024-2025
Getafe,283.9,53.7,15.2,0.61,3.05,19.0,24.4,3.87,1.45,1.82,0.03,2.37,6.89,2024-2025
Girona,515.7,45.4,12.7,1.03,3.37,21.2,18.6,4.89,2.39,1.76,0.03,2.08,8.89,2024-2025
Las Palmas,427.2,50.4,14.7,1.29,3.08,17.7,20.6,4.21,1.42,1.89,0.11,1.55,8.45,2024-2025
Leganés,343.0,45.3,13.2,1.26,2.39,13.0,17.2,2.97,1.21,1.21,0.00,2.21,6.63,2024-2025
Mallorca,377.3,47.6,12.4,1.16,2.45,19.3,19.9,3.82,1.53,1.92,0.08,2.05,7.68,2024-2025
Osasuna,370.3,49.8,12.8,0.74,3.50,21.6,21.9,4.61,1.68,1.32,0.05,1.74,9.18,2024-2025
Rayo Vallecano,417.7,50.2,11.5,1.21,2.95,20.2,22.8,5.32,2.82,1.71,0.00,2.08,10.4,2024-2025
Real Madrid,588.7,46.5,14.4,2.37,5.82,15.2,16.3,6.39,2.97,1.66,0.03,2.24,8.32,2024-2025
Real Sociedad,441.1,50.4,13.5,0.87,3.84,19.5,21.9,5.68,2.05,2.50,0.00,2.16,9.71,2024-2025
Sevilla,424.8,47.0,12.4,1.03,3.42,16.1,20.5,4.87,2.87,0.87,0.03,1.82,8.16,2024-2025
Valencia,414.2,49.9,14.9,1.00,3.37,20.1,20.3,4.89,1.82,1.95,0.08,1.89,10.4,2024-2025
Valladolid,354.9,48.3,14.3,0.97,3.32,17.7,17.0,4.11,2.13,1.00,0.05,1.76,6.97,2024-2025
Villarreal,422.0,45.1,13.5,2.05,3.26,17.7,16.7,4.82,2.03,1.58,0.05,2.03,8.37,2024-2025
