Equipo,Gls.,Dis,DaP,FK,TP,TPint,xG,npxG,Temporada
Alavés,1.00,10.3,3.24,0.26,0.24,0.29,1.13,0.90,2024-2025
Athletic Club,1.39,12.2,3.89,0.21,0.08,0.16,1.39,1.27,2024-2025
Atlético Madrid,1.79,12.2,4.58,0.34,0.16,0.18,1.70,1.56,2024-2025
Barcelona,2.61,17.6,6.32,0.71,0.18,0.21,2.41,2.24,2024-2025
Betis,1.45,13.6,4.63,0.37,0.18,0.26,1.44,1.23,2024-2025
Celta Vigo,1.53,11.6,4.39,0.50,0.21,0.24,1.43,1.24,2024-2025
Espanyol,1.00,9.24,2.58,0.39,0.13,0.13,0.91,0.80,2024-2025
Getafe,0.89,11.3,3.21,0.45,0.13,0.13,0.97,0.87,2024-2025
Girona,1.13,10.4,3.53,0.34,0.11,0.13,1.12,1.02,2024-2025
Las Palmas,1.00,10.8,3.53,0.55,0.08,0.11,0.96,0.87,2024-2025
Leganés,1.00,9.08,2.89,0.50,0.13,0.18,0.95,0.81,2024-2025
Mallorca,0.89,10.1,2.82,0.18,0.11,0.13,1.02,0.92,2024-2025
Osasuna,1.21,10.8,3.24,0.24,0.24,0.24,1.16,0.99,2024-2025
Rayo Vallecano,1.00,13.5,4.26,0.66,0.00,0.03,1.19,1.17,2024-2025
Real Madrid,2.05,16.3,6.03,0.39,0.26,0.37,1.98,1.70,2024-2025
Real Sociedad,0.89,10.1,3.21,0.26,0.11,0.11,1.12,1.03,2024-2025
Sevilla,1.03,12.4,3.89,0.37,0.05,0.08,1.12,1.06,2024-2025
Valencia,1.13,10.1,3.05,0.16,0.13,0.13,1.14,1.03,2024-2025
Valladolid,0.68,8.71,2.55,0.29,0.13,0.13,0.91,0.81,2024-2025
Villarreal,1.82,13.9,4.50,0.24,0.13,0.18,1.71,1.56,2024-2025
