idPartido,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante,Temporada
1,Valencia,Las Palmas,1,0,2017-2018
2,Leganes,Alaves,1,0,2017-2018
3,Celta Vigo,Real Sociedad,2,3,2017-2018
4,Girona,Atletico de Madrid,2,2,2017-2018
5,Sevilla,Espanyol,1,1,2017-2018
6,Athletic Club,Getafe,0,0,2017-2018
7,Barcelona,Betis,2,0,2017-2018
8,Deportivo de La Coruna,Real Madrid,0,3,2017-2018
9,Levante,Villarreal,1,0,2017-2018
10,Malaga,Eibar,0,1,2017-2018
11,Real Sociedad,Villarreal,3,0,2017-2018
12,Betis,Celta Vigo,2,1,2017-2018
13,Alaves,Barcelona,0,2,2017-2018
14,Levante,Deportivo de La Coruna,2,2,2017-2018
15,Las Palmas,Atletico de Madrid,1,5,2017-2018
16,Girona,Malaga,1,0,2017-2018
17,Espanyol,Leganes,0,1,2017-2018
18,Real Madrid,Valencia,2,2,2017-2018
19,Getafe,Sevilla,0,1,2017-2018
20,Eibar,Athletic Club,0,1,2017-2018
21,Leganes,Getafe,1,2,2017-2018
22,Valencia,Atletico de Madrid,0,0,2017-2018
23,Real Madrid,Levante,1,1,2017-2018
24,Sevilla,Eibar,3,0,2017-2018
25,Barcelona,Espanyol,5,0,2017-2018
26,Villarreal,Betis,3,1,2017-2018
27,Deportivo de La Coruna,Real Sociedad,2,4,2017-2018
28,Celta Vigo,Alaves,1,0,2017-2018
29,Athletic Club,Girona,2,0,2017-2018
30,Malaga,Las Palmas,1,3,2017-2018
31,Eibar,Leganes,1,0,2017-2018
32,Getafe,Barcelona,1,2,2017-2018
33,Betis,Deportivo de La Coruna,2,1,2017-2018
34,Atletico de Madrid,Malaga,1,0,2017-2018
35,Levante,Valencia,1,1,2017-2018
36,Las Palmas,Athletic Club,1,0,2017-2018
37,Girona,Sevilla,0,1,2017-2018
38,Real Sociedad,Real Madrid,1,3,2017-2018
39,Alaves,Villarreal,0,3,2017-2018
40,Espanyol,Celta Vigo,2,1,2017-2018
41,Barcelona,Eibar,6,1,2017-2018
42,Valencia,Malaga,5,0,2017-2018
43,Athletic Club,Atletico de Madrid,1,2,2017-2018
44,Sevilla,Las Palmas,1,0,2017-2018
45,Deportivo de La Coruna,Alaves,1,0,2017-2018
46,Real Madrid,Betis,0,1,2017-2018
47,Leganes,Girona,0,0,2017-2018
48,Celta Vigo,Getafe,1,1,2017-2018
49,Levante,Real Sociedad,3,0,2017-2018
50,Villarreal,Espanyol,0,0,2017-2018
51,Alaves,Real Madrid,1,2,2017-2018
52,Malaga,Athletic Club,3,3,2017-2018
53,Atletico de Madrid,Sevilla,2,0,2017-2018
54,Girona,Barcelona,0,3,2017-2018
55,Espanyol,Deportivo de La Coruna,4,1,2017-2018
56,Las Palmas,Leganes,0,2,2017-2018
57,Getafe,Villarreal,4,0,2017-2018
58,Eibar,Celta Vigo,0,4,2017-2018
59,Real Sociedad,Valencia,2,3,2017-2018
60,Betis,Levante,4,0,2017-2018
61,Celta Vigo,Girona,3,3,2017-2018
62,Leganes,Atletico de Madrid,0,0,2017-2018
63,Sevilla,Malaga,2,0,2017-2018
64,Levante,Alaves,0,2,2017-2018
65,Deportivo de La Coruna,Getafe,2,1,2017-2018
66,Valencia,Athletic Club,3,2,2017-2018
67,Real Madrid,Espanyol,2,0,2017-2018
68,Real Sociedad,Betis,4,4,2017-2018
69,Barcelona,Las Palmas,3,0,2017-2018
70,Villarreal,Eibar,3,0,2017-2018
71,Espanyol,Levante,0,0,2017-2018
72,Getafe,Real Madrid,1,2,2017-2018
73,Athletic Club,Sevilla,1,0,2017-2018
74,Alaves,Real Sociedad,0,2,2017-2018
75,Atletico de Madrid,Barcelona,1,1,2017-2018
76,Girona,Villarreal,1,2,2017-2018
77,Betis,Valencia,3,6,2017-2018
78,Eibar,Deportivo de La Coruna,0,0,2017-2018
79,Malaga,Leganes,0,2,2017-2018
80,Las Palmas,Celta Vigo,2,5,2017-2018
81,Levante,Getafe,1,1,2017-2018
82,Barcelona,Malaga,2,0,2017-2018
83,Valencia,Sevilla,4,0,2017-2018
84,Betis,Alaves,2,0,2017-2018
85,Villarreal,Las Palmas,4,0,2017-2018
86,Real Madrid,Eibar,3,0,2017-2018
87,Leganes,Athletic Club,1,0,2017-2018
88,Celta Vigo,Atletico de Madrid,0,1,2017-2018
89,Deportivo de La Coruna,Girona,1,2,2017-2018
90,Real Sociedad,Espanyol,1,1,2017-2018
91,Alaves,Valencia,1,2,2017-2018
92,Sevilla,Leganes,2,1,2017-2018
93,Atletico de Madrid,Villarreal,1,1,2017-2018
94,Athletic Club,Barcelona,0,2,2017-2018
95,Malaga,Celta Vigo,2,1,2017-2018
96,Girona,Real Madrid,2,1,2017-2018
97,Getafe,Real Sociedad,2,1,2017-2018
98,Eibar,Levante,2,2,2017-2018
99,Espanyol,Betis,1,0,2017-2018
100,Las Palmas,Deportivo de La Coruna,1,3,2017-2018
101,Betis,Getafe,2,2,2017-2018
102,Alaves,Espanyol,1,0,2017-2018
103,Barcelona,Sevilla,2,1,2017-2018
104,Deportivo de La Coruna,Atletico de Madrid,0,1,2017-2018
105,Valencia,Leganes,3,0,2017-2018
106,Real Sociedad,Eibar,3,1,2017-2018
107,Celta Vigo,Athletic Club,3,1,2017-2018
108,Levante,Girona,1,2,2017-2018
109,Villarreal,Malaga,2,0,2017-2018
110,Real Madrid,Las Palmas,3,0,2017-2018
111,Girona,Real Sociedad,1,1,2017-2018
112,Leganes,Barcelona,0,3,2017-2018
113,Sevilla,Celta Vigo,2,1,2017-2018
114,Atletico de Madrid,Real Madrid,0,0,2017-2018
115,Getafe,Alaves,4,1,2017-2018
116,Athletic Club,Villarreal,1,1,2017-2018
117,Malaga,Deportivo de La Coruna,3,2,2017-2018
118,Espanyol,Valencia,0,2,2017-2018
119,Las Palmas,Levante,0,2,2017-2018
120,Eibar,Betis,5,0,2017-2018
121,Celta Vigo,Leganes,1,0,2017-2018
122,Levante,Atletico de Madrid,0,5,2017-2018
123,Real Madrid,Malaga,3,2,2017-2018
124,Betis,Girona,2,2,2017-2018
125,Alaves,Eibar,1,2,2017-2018
126,Villarreal,Sevilla,2,3,2017-2018
127,Deportivo de La Coruna,Athletic Club,2,2,2017-2018
128,Valencia,Barcelona,1,1,2017-2018
129,Real Sociedad,Las Palmas,2,2,2017-2018
130,Espanyol,Getafe,1,0,2017-2018
131,Malaga,Levante,0,0,2017-2018
132,Sevilla,Deportivo de La Coruna,2,0,2017-2018
133,Atletico de Madrid,Real Sociedad,2,1,2017-2018
134,Barcelona,Celta Vigo,2,2,2017-2018
135,Athletic Club,Real Madrid,0,0,2017-2018
136,Las Palmas,Betis,1,0,2017-2018
137,Getafe,Valencia,1,0,2017-2018
138,Leganes,Villarreal,3,1,2017-2018
139,Eibar,Espanyol,3,1,2017-2018
140,Girona,Alaves,2,3,2017-2018
141,Alaves,Las Palmas,2,0,2017-2018
142,Deportivo de La Coruna,Leganes,1,0,2017-2018
143,Valencia,Celta Vigo,2,1,2017-2018
144,Real Madrid,Sevilla,5,0,2017-2018
145,Getafe,Eibar,0,0,2017-2018
146,Real Sociedad,Malaga,0,2,2017-2018
147,Levante,Athletic Club,1,2,2017-2018
148,Villarreal,Barcelona,0,2,2017-2018
149,Betis,Atletico de Madrid,0,1,2017-2018
150,Espanyol,Girona,0,1,2017-2018
151,Sevilla,Levante,0,0,2017-2018
152,Eibar,Valencia,2,1,2017-2018
153,Athletic Club,Real Sociedad,0,0,2017-2018
154,Atletico de Madrid,Alaves,1,0,2017-2018
155,Celta Vigo,Villarreal,0,1,2017-2018
156,Barcelona,Deportivo de La Coruna,4,0,2017-2018
157,Las Palmas,Espanyol,2,2,2017-2018
158,Girona,Getafe,1,0,2017-2018
159,Malaga,Betis,0,2,2017-2018
160,Leganes,Real Madrid,1,3,2017-2018
161,Levante,Leganes,0,0,2017-2018
162,Getafe,Las Palmas,2,0,2017-2018
163,Real Sociedad,Sevilla,3,1,2017-2018
164,Eibar,Girona,4,1,2017-2018
165,Alaves,Malaga,1,0,2017-2018
166,Betis,Athletic Club,0,2,2017-2018
167,Espanyol,Atletico de Madrid,1,0,2017-2018
168,Deportivo de La Coruna,Celta Vigo,1,3,2017-2018
169,Valencia,Villarreal,0,1,2017-2018
170,Real Madrid,Barcelona,0,3,2017-2018
171,Las Palmas,Eibar,1,2,2017-2018
172,Valencia,Girona,2,1,2017-2018
173,Sevilla,Betis,3,5,2017-2018
174,Atletico de Madrid,Getafe,2,0,2017-2018
175,Barcelona,Levante,3,0,2017-2018
176,Villarreal,Deportivo de La Coruna,1,1,2017-2018
177,Leganes,Real Sociedad,1,0,2017-2018
178,Celta Vigo,Real Madrid,2,2,2017-2018
179,Athletic Club,Alaves,2,0,2017-2018
180,Malaga,Espanyol,0,1,2017-2018
181,Getafe,Malaga,1,0,2017-2018
182,Girona,Las Palmas,6,0,2017-2018
183,Deportivo de La Coruna,Valencia,1,2,2017-2018
184,Real Madrid,Villarreal,0,1,2017-2018
185,Eibar,Atletico de Madrid,0,1,2017-2018
186,Alaves,Sevilla,1,0,2017-2018
187,Espanyol,Athletic Club,1,1,2017-2018
188,Levante,Celta Vigo,0,1,2017-2018
189,Real Sociedad,Barcelona,2,4,2017-2018
190,Betis,Leganes,3,2,2017-2018
191,Getafe,Athletic Club,2,2,2017-2018
192,Atletico de Madrid,Girona,1,1,2017-2018
193,Las Palmas,Valencia,2,1,2017-2018
194,Villarreal,Levante,2,1,2017-2018
195,Espanyol,Sevilla,0,3,2017-2018
196,Real Madrid,Deportivo de La Coruna,7,1,2017-2018
197,Betis,Barcelona,0,5,2017-2018
198,Real Sociedad,Celta Vigo,1,2,2017-2018
199,Alaves,Leganes,2,2,2017-2018
200,Eibar,Malaga,1,1,2017-2018
201,Athletic Club,Eibar,1,1,2017-2018
202,Deportivo de La Coruna,Levante,2,2,2017-2018
203,Valencia,Real Madrid,1,4,2017-2018
204,Malaga,Girona,0,0,2017-2018
205,Villarreal,Real Sociedad,4,2,2017-2018
206,Sevilla,Getafe,1,1,2017-2018
207,Barcelona,Alaves,2,1,2017-2018
208,Atletico de Madrid,Las Palmas,3,0,2017-2018
209,Leganes,Espanyol,3,2,2017-2018
210,Celta Vigo,Betis,3,2,2017-2018
211,Real Sociedad,Deportivo de La Coruna,5,0,2017-2018
212,Alaves,Celta Vigo,2,1,2017-2018
213,Betis,Villarreal,2,1,2017-2018
214,Eibar,Sevilla,5,1,2017-2018
215,Levante,Real Madrid,2,2,2017-2018
216,Espanyol,Barcelona,1,1,2017-2018
217,Atletico de Madrid,Valencia,1,0,2017-2018
218,Getafe,Leganes,0,0,2017-2018
219,Girona,Athletic Club,2,0,2017-2018
220,Las Palmas,Malaga,1,0,2017-2018
221,Athletic Club,Las Palmas,0,0,2017-2018
222,Leganes,Eibar,0,1,2017-2018
223,Villarreal,Alaves,1,2,2017-2018
224,Real Madrid,Real Sociedad,5,2,2017-2018
225,Malaga,Atletico de Madrid,0,1,2017-2018
226,Valencia,Levante,3,1,2017-2018
227,Celta Vigo,Espanyol,2,2,2017-2018
228,Sevilla,Girona,1,0,2017-2018
229,Barcelona,Getafe,0,0,2017-2018
230,Deportivo de La Coruna,Betis,0,1,2017-2018
231,Girona,Leganes,3,0,2017-2018
232,Eibar,Barcelona,0,2,2017-2018
233,Malaga,Valencia,1,2,2017-2018
234,Las Palmas,Sevilla,1,2,2017-2018
235,Alaves,Deportivo de La Coruna,1,0,2017-2018
236,Betis,Real Madrid,3,5,2017-2018
237,Real Sociedad,Levante,3,0,2017-2018
238,Espanyol,Villarreal,1,1,2017-2018
239,Atletico de Madrid,Athletic Club,2,0,2017-2018
240,Getafe,Celta Vigo,3,0,2017-2018
241,Deportivo de La Coruna,Espanyol,0,0,2017-2018
242,Barcelona,Girona,6,1,2017-2018
243,Leganes,Las Palmas,0,0,2017-2018
244,Real Madrid,Alaves,4,0,2017-2018
245,Celta Vigo,Eibar,2,0,2017-2018
246,Athletic Club,Malaga,2,1,2017-2018
247,Sevilla,Atletico de Madrid,2,5,2017-2018
248,Villarreal,Getafe,1,0,2017-2018
249,Valencia,Real Sociedad,2,1,2017-2018
250,Levante,Betis,0,2,2017-2018
251,Espanyol,Real Madrid,1,0,2017-2018
252,Girona,Celta Vigo,1,0,2017-2018
253,Atletico de Madrid,Leganes,4,0,2017-2018
254,Getafe,Deportivo de La Coruna,3,0,2017-2018
255,Athletic Club,Valencia,1,1,2017-2018
256,Eibar,Villarreal,1,0,2017-2018
257,Malaga,Sevilla,0,1,2017-2018
258,Alaves,Levante,1,0,2017-2018
259,Betis,Real Sociedad,0,0,2017-2018
260,Las Palmas,Barcelona,1,1,2017-2018
261,Leganes,Malaga,2,0,2017-2018
262,Villarreal,Girona,0,2,2017-2018
263,Deportivo de La Coruna,Eibar,1,1,2017-2018
264,Real Madrid,Getafe,3,1,2017-2018
265,Sevilla,Athletic Club,2,0,2017-2018
266,Valencia,Betis,2,0,2017-2018
267,Real Sociedad,Alaves,2,1,2017-2018
268,Levante,Espanyol,1,1,2017-2018
