Equipo,Derribos Tkl,Derribos TklG,Derribos 3.º def.,Derribos 3.º cent.,Derribos 3.º ataq.,Desafíos Tkl,Desafíos Att,Desafíos Tkl%,Desafíos Pérdida,Bloqueos,Bloqueos Dis,Bloqueos Pases,Intercepciones,Tkl+Int,Desp.,Err,Temporada
Alaves,18.5,12.2,9.58,6.97,1.92,7.03,17.4,40.3,10.4,10.7,3.50,7.21,13.1,31.6,25.8,0.29,2017-2018
Athletic Club,19.4,12.8,9.45,8.00,2.00,7.79,19.3,40.3,11.6,11.4,2.71,8.66,12.2,31.7,21.6,0.24,2017-2018
Atletico de Madrid,24.1,16.2,11.6,9.79,2.71,9.92,22.3,44.5,12.4,12.2,3.39,8.76,13.5,37.6,23.3,0.11,2017-2018
Barcelona,16.6,10.9,7.39,6.89,2.26,6.03,14.5,41.5,8.50,9.63,2.71,6.92,11.2,27.7,13.8,0.26,2017-2018
Betis,16.7,11.2,8.39,6.63,1.68,5.61,14.1,39.7,8.53,9.37,2.50,6.87,11.2,27.9,22.9,0.45,2017-2018
Celta Vigo,15.5,11.1,8.00,6.11,1.39,5.74,14.6,39.2,8.89,8.61,2.66,5.95,13.1,28.6,20.5,0.26,2017-2018
Eibar,16.9,11.5,7.13,7.42,2.37,6.79,16.1,42.1,9.34,9.18,1.39,7.79,14.6,31.5,18.7,0.24,2017-2018
Espanyol,18.8,13.2,9.39,7.32,2.13,7.13,18.4,38.7,11.3,9.53,3.05,6.47,13.6,32.4,23.7,0.24,2017-2018
Getafe,18.8,12.9,9.71,7.03,2.08,7.26,19.3,37.7,12.0,9.21,1.82,7.39,12.8,31.6,23.7,0.13,2017-2018
Girona,16.1,10.6,7.87,6.68,1.53,6.32,15.9,39.6,9.63,8.66,2.21,6.45,12.9,29.0,22.6,0.16,2017-2018
Deportivo de La Coruna,19.2,13.2,10.2,7.42,1.58,7.68,17.9,43.0,10.2,10.3,2.97,7.32,12.7,31.9,24.8,0.34,2017-2018
Las Palmas,17.2,11.4,8.55,7.08,1.58,7.05,17.0,41.4,9.97,9.66,2.95,6.71,13.4,30.6,18.8,0.55,2017-2018
Leganes,19.0,12.7,9.21,8.08,1.68,8.50,18.3,46.3,9.84,9.50,2.29,7.21,15.3,34.3,20.4,0.24,2017-2018
Levante,16.2,10.9,8.63,5.84,1.74,6.29,16.4,38.2,10.2,10.4,3.34,7.05,12.6,28.8,21.3,0.24,2017-2018
Malaga,19.6,13.4,10.1,7.26,2.26,7.16,18.6,38.5,11.4,9.53,2.66,6.87,13.1,32.7,23.4,0.08,2017-2018
Real Madrid,18.1,12.4,8.34,7.24,2.50,6.63,16.3,40.6,9.71,9.53,2.18,7.34,11.2,29.2,14.1,0.42,2017-2018
Real Sociedad,14.4,9.84,6.55,6.00,1.84,5.97,14.1,42.4,8.13,9.66,2.39,7.26,11.7,26.1,17.5,0.16,2017-2018
Sevilla,20.2,14.1,9.32,8.55,2.34,7.79,18.0,43.2,10.2,11.0,3.00,8.03,10.8,31.0,22.3,0.45,2017-2018
Valencia,19.6,12.9,10.7,7.03,1.87,8.13,18.2,44.7,10.1,10.9,2.84,8.11,12.1,31.7,23.9,0.24,2017-2018
Villarreal,18.7,12.3,9.37,7.32,2.03,7.29,18.4,39.6,11.1,11.8,3.45,8.32,11.2,29.9,26.9,0.18,2017-2018
Alaves,17.0,10.2,9.26,6.00,1.74,6.68,15.7,42.7,8.97,11.0,3.08,7.95,10.3,27.3,28.1,0.34,2018-2019
Athletic Club,16.9,10.1,8.18,6.45,2.29,6.45,17.0,37.9,10.6,10.9,2.45,8.45,11.9,28.8,21.4,0.18,2018-2019
Atletico de Madrid,20.6,12.8,10.6,7.84,2.21,8.39,18.4,45.6,10.0,9.84,2.47,7.37,12.2,32.8,22.0,0.32,2018-2019
Barcelona,14.1,9.11,5.74,6.11,2.29,5.95,12.9,45.9,7.00,9.47,2.66,6.82,10.3,24.4,14.9,0.42,2018-2019
Betis,16.2,9.95,8.13,5.97,2.08,5.76,14.3,40.3,8.55,10.1,2.11,7.95,9.50,25.7,18.5,0.55,2018-2019
Celta Vigo,16.7,9.92,9.58,5.61,1.50,6.79,14.8,45.9,8.00,10.0,2.76,7.24,10.1,26.7,23.4,0.50,2018-2019
Eibar,16.8,11.2,6.26,7.61,2.89,6.32,14.8,42.6,8.50,9.39,1.39,8.00,9.68,26.4,18.0,0.26,2018-2019
Espanyol,17.2,10.4,8.53,6.42,2.29,6.92,18.0,38.5,11.1,10.6,3.53,7.05,10.7,28.0,25.0,0.37,2018-2019
Getafe,15.9,9.42,6.47,7.39,2.03,6.71,16.2,41.3,9.53,11.1,2.13,8.97,11.9,27.8,23.4,0.39,2018-2019
Girona,16.1,9.66,8.13,6.50,1.50,6.95,16.7,41.5,9.79,10.6,3.26,7.29,11.4,27.5,24.4,0.37,2018-2019
Huesca,18.7,11.9,9.55,7.63,1.55,7.97,18.3,43.7,10.3,10.9,2.82,8.08,11.6,30.3,25.1,0.32,2018-2019
