Equipo,ACT,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Temporada
Alaves,17.5,11.6,1.84,1.29,0.82,1.61,0.39,1.87,1.37,0.11,0.18,0.11,0.11,0.00,2017-2018
Athletic Club,19.5,13.2,2.50,0.95,1.08,1.37,0.42,1.79,1.18,0.11,0.05,0.26,0.18,0.00,2017-2018
Atletico de Madrid,18.4,12.4,1.92,1.71,0.76,1.18,0.45,2.74,1.84,0.05,0.37,0.18,0.18,0.11,2017-2018
Barcelona,27.2,19.6,1.18,2.61,1.50,1.87,0.53,4.47,3.18,0.13,0.45,0.37,0.26,0.08,2017-2018
Betis,19.1,14.5,1.16,1.61,0.58,0.82,0.39,2.45,1.89,0.13,0.16,0.13,0.11,0.03,2017-2018
Celta Vigo,21.1,15.3,1.47,1.29,1.05,1.47,0.55,2.71,1.84,0.16,0.21,0.21,0.18,0.11,2017-2018
Eibar,21.3,14.1,2.79,1.21,0.89,1.87,0.39,1.89,1.32,0.24,0.03,0.18,0.11,0.03,2017-2018
Espanyol,19.1,13.3,1.84,1.13,0.97,1.29,0.53,1.58,1.05,0.11,0.11,0.05,0.16,0.11,2017-2018
Getafe,16.6,9.92,2.29,1.42,0.68,1.55,0.68,1.68,0.82,0.24,0.24,0.13,0.21,0.05,2017-2018
Girona,20.9,13.1,3.08,1.16,1.05,2.08,0.45,2.32,1.24,0.24,0.29,0.18,0.32,0.05,2017-2018
Deportivo de La Coruna,21.5,15.2,2.42,1.37,1.18,1.08,0.29,1.76,1.18,0.21,0.08,0.18,0.11,0.00,2017-2018
Las Palmas,19.3,13.7,1.68,1.42,0.68,1.61,0.21,1.08,0.74,0.00,0.16,0.08,0.08,0.03,2017-2018
Leganes,17.8,11.1,2.21,1.32,1.00,1.61,0.66,1.45,0.84,0.16,0.13,0.21,0.08,0.03,2017-2018
Levante,19.2,13.1,1.71,1.61,0.89,1.26,0.55,2.08,1.39,0.13,0.21,0.08,0.26,0.00,2017-2018
Malaga,18.1,11.2,2.24,1.61,1.03,1.37,0.61,0.89,0.53,0.11,0.05,0.08,0.11,0.03,2017-2018
Real Madrid,33.9,26.3,2.13,2.16,1.50,1.39,0.45,4.37,3.18,0.21,0.24,0.42,0.29,0.03,2017-2018
Real Sociedad,24.3,17.1,2.37,1.74,1.11,1.63,0.29,2.84,2.03,0.21,0.26,0.13,0.18,0.03,2017-2018
Sevilla,24.4,18.2,1.97,1.55,1.11,1.13,0.39,2.37,1.55,0.21,0.24,0.18,0.16,0.03,2017-2018
Valencia,22.6,15.9,2.00,1.95,1.18,1.24,0.34,3.00,2.00,0.18,0.29,0.21,0.24,0.08,2017-2018
Villarreal,21.9,15.9,1.68,1.82,0.97,0.95,0.53,2.50,1.76,0.08,0.34,0.18,0.13,0.00,2017-2018
Alaves,18.4,12.1,2.45,1.00,1.24,1.53,0.16,1.55,0.95,0.21,0.08,0.16,0.13,0.03,2018-2019
Athletic Club,18.2,12.6,2.03,1.13,1.11,1.18,0.24,1.84,1.29,0.13,0.08,0.16,0.18,0.00,2018-2019
Atletico de Madrid,20.7,15.0,1.97,1.05,1.05,1.39,0.29,2.34,1.66,0.08,0.11,0.29,0.18,0.03,2018-2019
Barcelona,26.3,20.2,1.11,1.97,1.11,1.74,0.24,4.16,2.97,0.18,0.34,0.26,0.39,0.00,2018-2019
Betis,20.6,15.4,1.24,1.50,0.63,1.45,0.37,2.00,1.50,0.00,0.16,0.13,0.18,0.03,2018-2019
Celta Vigo,21.4,15.5,1.47,1.66,1.16,1.45,0.21,2.34,1.74,0.08,0.13,0.18,0.21,0.00,2018-2019
Eibar,24.6,16.8,2.95,1.50,1.26,1.61,0.47,1.92,1.18,0.18,0.08,0.21,0.18,0.08,2018-2019
Espanyol,21.2,15.5,1.53,1.03,1.58,1.03,0.53,1.74,1.11,0.11,0.05,0.32,0.08,0.08,2018-2019
Getafe,17.7,11.3,2.37,1.29,0.95,1.47,0.39,2.05,1.21,0.18,0.29,0.13,0.21,0.03,2018-2019
Girona,18.2,12.2,2.21,1.03,1.03,1.63,0.16,1.66,1.03,0.16,0.05,0.24,0.18,0.00,2018-2019
Huesca,21.4,14.4,2.45,1.18,1.47,1.42,0.55,2.00,1.11,0.26,0.11,0.26,0.26,0.00,2018-2019
Leganes,18.6,12.9,2.26,0.97,0.89,1.18,0.39,1.61,1.11,0.21,0.08,0.13,0.08,0.00,2018-2019
Levante,20.0,13.5,1.74,1.61,1.08,1.68,0.39,2.58,1.66,0.26,0.26,0.18,0.21,0.00,2018-2019
Rayo Vallecano,20.8,14.1,2.11,1.71,1.32,1.11,0.47,1.76,1.18,0.05,0.16,0.21,0.16,0.00,2018-2019
Real Madrid,28.2,20.8,2.13,1.87,1.74,1.29,0.32,2.71,1.74,0.16,0.18,0.34,0.26,0.03,2018-2019
Real Sociedad,19.8,13.7,1.89,1.39,1.08,1.24,0.50,1.95,1.21,0.18,0.13,0.13,0.24,0.05,2018-2019
Sevilla,24.6,19.4,1.55,1.16,1.13,0.92,0.34,2.89,2.32,0.08,0.16,0.21,0.13,0.00,2018-2019
Valencia,22.5,16.9,1.95,1.11,1.16,1.11,0.32,2.42,1.76,0.18,0.11,0.11,0.21,0.05,2018-2019
Valladolid,19.5,13.8,1.84,1.34,0.97,1.29,0.29,1.39,0.84,0.13,0.11,0.11,0.21,0.00,2018-2019
Villarreal,22.9,16.8,1.95,1.63,1.34,0.76,0.45,2.03,1.18,0.18,0.26,0.29,0.08,0.03,2018-2019
Alaves,14.1,8.76,2.32,0.74,0.95,1.21,0.16,1.53,0.82,0.21,0.11,0.16,0.21,0.03,2019-2020
Athletic Club,18.2,12.3,2.21,0.97,0.95,1.42,0.26,1.71,1.13,0.11,0.08,0.16,0.21,0.03,2019-2020
Atletico de Madrid,20.8,14.4,2.32,1.13,1.34,1.26,0.37,2.26,1.47,0.13,0.29,0.13,0.21,0.03,2019-2020
Barcelona,23.8,17.8,1.00,2.16,0.87,1.58,0.32,3.95,3.00,0.16,0.26,0.13,0.32,0.08,2019-2020
Betis,22.0,16.1,1.63,2.03,0.97,1.03,0.29,1.97,1.37,0.11,0.16,0.18,0.16,0.00,2019-2020
Celta Vigo,17.3,12.6,1.37,1.08,0.97,1.16,0.21,1.76,1.13,0.08,0.21,0.13,0.21,0.00,2019-2020
Eibar,18.7,11.8,2.55,1.05,1.45,1.26,0.50,1.66,1.00,0.18,0.13,0.16,0.18,0.00,2019-2020
Espanyol,18.2,12.3,2.16,0.97,1.18,1.32,0.21,1.16,0.68,0.13,0.05,0.16,0.08,0.05,2019-2020
Getafe,18.2,12.2,2.18,0.95,0.92,1.66,0.26,1.84,1.13,0.18,0.18,0.16,0.16,0.03,2019-2020
Granada,17.6,11.4,2.34,0.84,1.00,1.53,0.50,2.26,1.37,0.24,0.13,0.21,0.21,0.11,2019-2020
Leganes,19.8,13.4,2.29,1.16,1.26,1.50,0.18,1.42,1.00,0.11,0.05,0.08,0.16,0.03,2019-2020
Levante,19.6,14.4,1.87,1.26,0.92,0.97,0.21,2.08,1.37,0.11,0.16,0.21,0.24,0.00,2019-2020
