Equipo,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Temporada
Alaves,255.2,365.2,69.9,4815.8,2150.5,0.82,0.73,0.58,0.09,7.29,22.0,4.63,1.63,27.5,2017-2018
Athletic Club,347.2,463.5,74.9,6924.0,2643.5,0.66,0.89,0.88,-0.23,8.00,31.9,7.68,2.74,40.0,2017-2018
Atletico de Madrid,381.2,488.9,78.0,6500.9,2477.4,1.08,0.96,0.81,0.12,7.76,30.7,6.82,0.89,38.4,2017-2018
Barcelona,582.8,677.4,86.0,9575.2,3193.0,1.95,1.70,1.66,0.25,11.0,45.5,12.5,0.79,56.6,2017-2018
Betis,472.4,569.0,83.0,8365.6,2753.0,1.13,0.93,0.83,0.21,8.34,32.3,6.16,1.68,39.6,2017-2018
Celta Vigo,446.9,554.5,80.6,8292.2,2861.7,1.18,1.13,0.97,0.05,8.74,32.6,8.13,2.29,42.0,2017-2018
Eibar,334.9,472.7,70.8,6854.4,2594.6,0.82,0.79,0.76,0.02,8.76,33.9,6.76,3.63,38.6,2017-2018
Espanyol,335.6,452.4,74.2,6148.4,2378.1,0.63,0.73,0.74,-0.10,7.63,27.3,6.11,2.24,33.6,2017-2018
Getafe,224.5,347.2,64.7,4446.9,2019.0,0.71,0.78,0.67,-0.07,6.71,23.3,6.76,1.76,28.7,2017-2018
Girona,311.7,422.0,73.8,6205.7,2385.5,0.82,0.91,0.92,-0.09,8.58,25.8,5.87,2.97,32.0,2017-2018
Deportivo de La Coruna,336.4,446.7,75.3,6275.8,2450.7,0.79,1.05,0.92,-0.26,9.03,28.7,7.16,2.24,38.9,2017-2018
Las Palmas,416.4,520.7,80.0,7112.5,2634.8,0.39,0.65,0.73,-0.26,7.71,27.1,6.71,1.61,35.1,2017-2018
Leganes,273.2,391.8,69.7,5103.7,2205.0,0.61,0.79,0.71,-0.18,7.66,24.4,5.00,1.97,29.2,2017-2018
Levante,282.0,388.6,72.6,5264.7,2222.0,0.74,0.84,0.59,-0.10,7.55,25.8,7.16,2.29,33.8,2017-2018
Malaga,300.6,415.0,72.4,5673.7,2367.1,0.39,0.69,0.62,-0.30,7.66,25.0,5.61,2.55,30.8,2017-2018
Real Madrid,551.4,644.6,85.5,9436.3,3163.2,1.71,1.65,1.55,0.06,14.5,48.6,13.5,3.21,62.7,2017-2018
Real Sociedad,446.7,548.4,81.5,8042.8,2804.8,1.24,1.02,0.94,0.21,10.2,33.0,8.24,2.71,42.2,2017-2018
Sevilla,430.7,541.3,79.6,7378.9,2813.7,0.92,1.13,0.97,-0.21,10.4,34.3,9.03,1.47,48.0,2017-2018
Valencia,376.0,473.8,79.4,6900.5,2590.9,1.18,1.05,0.88,0.13,9.32,32.2,8.08,1.97,41.1,2017-2018
Villarreal,394.6,494.7,79.8,7153.8,2691.0,1.18,1.11,0.84,0.08,9.79,30.4,6.47,1.58,38.2,2017-2018
