Equipo,TL,TE,OG,PSxG,PSxG/SoT,PSxG+/-,Temporada
Alaves,0.05,0.18,0.05,1.30,0.25,0.04,2017-2018
Athletic Club,0.08,0.13,0.08,1.37,0.28,0.16,2017-2018
Atletico de Madrid,0.03,0.05,0.03,0.87,0.23,0.32,2017-2018
Barcelona,0.00,0.03,0.00,0.97,0.26,0.21,2017-2018
Betis,0.00,0.18,0.11,1.27,0.29,-0.23,2017-2018
Celta Vigo,0.00,0.21,0.03,1.30,0.29,-0.25,2017-2018
Eibar,0.05,0.08,0.08,1.26,0.34,0.02,2017-2018
Espanyol,0.03,0.13,0.05,1.24,0.26,0.19,2017-2018
Getafe,0.00,0.08,0.00,1.11,0.31,0.24,2017-2018
Girona,0.08,0.05,0.08,1.52,0.32,0.05,2017-2018
Deportivo de La Coruna,0.11,0.29,0.08,1.64,0.33,-0.28,2017-2018
Las Palmas,0.03,0.18,0.03,1.94,0.33,0.02,2017-2018
Leganes,0.11,0.11,0.00,1.36,0.30,0.02,2017-2018
Levante,0.03,0.21,0.08,1.52,0.29,0.08,2017-2018
Malaga,0.03,0.08,0.00,1.75,0.36,0.15,2017-2018
Real Madrid,0.00,0.18,0.05,1.19,0.30,0.09,2017-2018
Real Sociedad,0.05,0.18,0.03,1.39,0.30,-0.14,2017-2018
Sevilla,0.03,0.16,0.03,1.36,0.32,-0.14,2017-2018
Valencia,0.03,0.13,0.00,1.33,0.28,0.33,2017-2018
Villarreal,0.03,0.16,0.00,1.34,0.28,0.02,2017-2018
Alaves,0.08,0.05,0.05,1.38,0.29,0.12,2018-2019
Athletic Club,0.00,0.16,0.00,1.13,0.32,-0.06,2018-2019
Atletico de Madrid,0.00,0.11,0.05,1.11,0.28,0.40,2018-2019
Barcelona,0.00,0.05,0.03,1.06,0.30,0.14,2018-2019
Betis,0.05,0.21,0.00,1.36,0.31,-0.01,2018-2019
Celta Vigo,0.11,0.13,0.03,1.57,0.32,-0.03,2018-2019
Eibar,0.05,0.08,0.03,1.16,0.31,-0.13,2018-2019
Espanyol,0.13,0.18,0.05,1.36,0.27,0.10,2018-2019
Getafe,0.03,0.05,0.05,1.06,0.26,0.19,2018-2019
