Equipo,GC,DaPC,Salvadas,PG,PE,PP,PaC,TPint,PD,Temporada
Alaves,1.32,4.53,3.21,0.39,0.05,0.55,0.32,0.26,0.18,2017-2018
Athletic Club,1.29,4.37,3.08,0.26,0.34,0.39,0.29,0.16,0.08,2017-2018
Atletico de Madrid,0.58,3.39,2.76,0.61,0.26,0.13,0.61,0.11,0.03,2017-2018
Barcelona,0.76,3.50,2.74,0.74,0.24,0.03,0.50,0.05,0.05,2017-2018
Betis,1.61,4.11,2.58,0.47,0.16,0.37,0.34,0.11,0.08,2017-2018
Celta Vigo,1.58,4.24,2.68,0.34,0.26,0.39,0.18,0.13,0.11,2017-2018
Eibar,1.32,3.53,2.29,0.37,0.24,0.39,0.29,0.11,0.11,2017-2018
Espanyol,1.11,4.32,3.21,0.32,0.34,0.34,0.32,0.16,0.11,2017-2018
Getafe,0.87,3.42,2.53,0.39,0.26,0.34,0.37,0.11,0.05,2017-2018
Girona,1.55,4.61,3.13,0.37,0.24,0.39,0.29,0.13,0.11,2017-2018
Deportivo de La Coruna,2.00,4.71,2.76,0.16,0.29,0.55,0.16,0.13,0.11,2017-2018
Las Palmas,1.95,5.66,3.74,0.13,0.18,0.68,0.13,0.13,0.13,2017-2018
Leganes,1.34,4.11,2.74,0.32,0.18,0.50,0.37,0.18,0.16,2017-2018
Levante,1.53,4.82,3.34,0.29,0.34,0.37,0.26,0.16,0.13,2017-2018
Malaga,1.61,4.47,2.84,0.13,0.13,0.74,0.16,0.18,0.16,2017-2018
Real Madrid,1.16,3.79,2.63,0.58,0.26,0.16,0.26,0.11,0.05,2017-2018
Real Sociedad,1.55,3.92,2.37,0.37,0.18,0.45,0.26,0.21,0.16,2017-2018
Sevilla,1.53,3.95,2.42,0.45,0.18,0.37,0.37,0.21,0.13,2017-2018
Valencia,1.00,4.32,3.26,0.58,0.18,0.24,0.32,0.13,0.08,2017-2018
Villarreal,1.32,4.13,2.74,0.47,0.18,0.34,0.29,0.21,0.13,2017-2018
