Equipo,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Att,Succ,Tkld,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Temporada
Alaves,473.4,57.8,166.3,211.2,102.1,14.7,15.2,8.68,6.42,239.7,1287.9,635.9,11.9,9.13,3.11,14.1,10.6,252.7,27.1,2017-2018
Athletic Club,569.8,56.2,168.2,270.8,137.9,20.0,16.1,9.21,6.87,313.9,1729.0,890.9,17.2,13.7,3.58,13.2,10.8,344.5,39.7,2017-2018
Atletico de Madrid,604.1,55.3,184.7,281.3,144.5,19.5,18.2,11.2,7.03,333.1,1741.8,900.0,18.5,13.1,4.45,14.4,11.8,379.2,38.1,2017-2018
Barcelona,771.7,58.7,193.5,373.3,211.9,32.2,25.6,16.3,9.32,501.2,2564.1,1395.8,27.0,21.0,8.21,12.8,12.2,579.4,56.1,2017-2018
Betis,669.3,66.3,211.9,328.2,135.4,15.4,17.9,11.6,6.32,442.3,2141.8,1126.1,19.4,14.7,4.66,13.7,10.0,469.1,39.5,2017-2018
Celta Vigo,651.3,64.6,211.1,313.2,133.5,18.6,15.9,9.89,5.97,385.0,2000.2,1002.3,19.1,14.9,4.34,13.2,11.3,443.3,41.5,2017-2018
Eibar,577.1,43.3,140.5,280.7,162.3,18.7,17.1,9.26,7.82,303.8,1606.0,748.3,16.7,14.0,3.39,16.3,9.84,331.3,38.2,2017-2018
Espanyol,558.8,56.7,187.3,259.3,117.4,15.5,15.7,8.50,7.16,305.5,1524.1,753.8,14.0,10.2,3.26,14.1,10.2,333.0,33.3,2017-2018
Getafe,452.9,48.9,148.5,195.3,114.2,15.1,15.4,7.79,7.61,213.1,1087.1,516.8,9.84,8.29,2.74,14.2,10.7,222.2,28.5,2017-2018
Girona,524.5,52.2,171.3,240.2,119.2,17.3,16.9,9.47,7.47,272.5,1485.1,706.6,15.5,10.9,3.13,12.5,9.71,308.8,31.6,2017-2018
Deportivo de La Coruna,553.4,55.4,179.0,247.8,132.9,19.4,16.4,9.87,6.47,285.1,1556.3,760.5,16.8,11.9,4.47,12.1,9.95,333.7,38.5,2017-2018
Las Palmas,621.2,62.6,202.0,298.6,127.9,16.3,18.8,11.8,6.95,374.9,1978.2,1018.3,19.1,15.2,3.50,15.0,12.1,413.6,34.7,2017-2018
Leganes,496.8,49.7,168.2,223.5,111.9,15.0,16.0,8.97,7.03,252.4,1325.9,629.8,14.1,10.2,2.82,14.7,11.9,271.0,28.9,2017-2018
