Equipo,Jugadores,Salario Semanal,Salario Anual,Temporada
Barcelona,33,4771599,248123125,2017-2018
Real Madrid,33,4025393,209320446,2017-2018
Atletico de Madrid,37,1931373,100431417,2017-2018
Sevilla,33,1344071,69891700,2017-2018
Valencia,31,1191165,61940590,2017-2018
Celta Vigo,66,824912,42895429,2017-2018
Real Sociedad,30,813623,42308420,2017-2018
Athletic Club,33,775250,40313004,2017-2018
Villarreal,41,638630,33208772,2017-2018
Espanyol,29,606430,31534373,2017-2018
Levante,41,599982,31199086,2017-2018
Malaga,40,489409,25449261,2017-2018
Betis,32,487037,25325944,2017-2018
Deportivo de La Coruna,36,412721,21461472,2017-2018
Las Palmas,39,386165,20080579,2017-2018
Eibar,34,354690,18443882,2017-2018
Alaves,33,307537,15991901,2017-2018
Getafe,36,275591,14330747,2017-2018
Girona,32,265635,13813041,2017-2018
Barcelona,92,5251071,273055692,2018-2019
Real Madrid,92,4552176,236713149,2018-2019
Atletico de Madrid,88,3970930,206488336,2018-2019
Sevilla,86,1515635,78813005,2018-2019
Valencia,80,1482024,77065227,2018-2019
Celta Vigo,126,1365708,71016799,2018-2019
Athletic Club,86,1110185,57729620,2018-2019
Villarreal,88,963942,50125007,2018-2019
Real Sociedad,81,746715,38829174,2018-2019
Betis,82,724863,37692866,2018-2019
Levante,87,710203,36930572,2018-2019
Espanyol,81,624147,32455650,2018-2019
Alaves,79,443216,23047212,2018-2019
Rayo Vallecano,85,407351,21182237,2018-2019
Eibar,83,393593,20466820,2018-2019
Getafe,78,375797,19541468,2018-2019
Girona,84,364215,18939174,2018-2019
Valladolid,94,322392,16764389,2018-2019
Huesca,88,302539,15732028,2018-2019
Real Madrid,80,6980915,363007586,2019-2020
Barcelona,69,6758474,351440667,2019-2020
Atletico de Madrid,68,3243519,168662987,2019-2020
Valencia,74,1476536,76779876,2019-2020
Sevilla,74,1283885,66762006,2019-2020
Villarreal,78,1163943,60525042,2019-2020
Athletic Club,76,947186,49253671,2019-2020
Real Sociedad,73,766098,39837075,2019-2020
Celta Vigo,75,735524,38247261,2019-2020
Betis,73,709850,36912224,2019-2020
Leganes,77,692212,35995024,2019-2020
Espanyol,81,656935,34160623,2019-2020
Getafe,83,518571,26965696,2019-2020
Alaves,82,477513,24830655,2019-2020
Granada,72,429791,22349118,2019-2020
Levante,71,367468,19108346,2019-2020
Eibar,76,362177,18833186,2019-2020
Valladolid,84,295738,15378396,2019-2020
Osasuna,79,277904,14451004,2019-2020
Mallorca,82,245371,12759279,2019-2020
Barcelona,83,6896250,358605024,2020-2021
Real Madrid,70,6159550,320296616,2020-2021
Atletico de Madrid,68,3339355,173646443,2020-2021
Villarreal,84,1892608,98415618,2020-2021
Sevilla,81,1832245,95276751,2020-2021
Valencia,78,1477516,76830834,2020-2021
Athletic Club,80,1421269,73905978,2020-2021
Real Sociedad,81,1000297,52015463,2020-2021
Celta Vigo,74,830576,43189954,2020-2021
Betis,81,774917,40295678,2020-2021
Granada,80,530330,27577161,2020-2021
Getafe,74,505440,26282889,2020-2021
Osasuna,77,492701,25620469,2020-2021
Alaves,77,458796,23857405,2020-2021
Valladolid,79,455269,23673967,2020-2021
Cadiz,85,380403,19780961,2020-2021
Levante,72,365508,19006435,2020-2021
Eibar,74,365312,18996243,2020-2021
Huesca,81,337287,17538912,2020-2021
Elche,72,264675,13763102,2020-2021
Real Madrid,77,6322216,328755245,2021-2022
Barcelona,94,4953373,257575384,2021-2022
Atletico de Madrid,70,3279384,170527961,2021-2022
Villarreal,78,2078596,108086988,2021-2022
Sevilla,85,1944935,101136644,2021-2022
Valencia,80,1348755,70135269,2021-2022
Athletic Club,78,1256251,65325058,2021-2022
Real Sociedad,80,988734,51414186,2021-2022
Betis,83,940131,48886789,2021-2022
Celta Vigo,64,752183,39113509,2021-2022
Getafe,81,744833,38731337,2021-2022
Espanyol,78,579326,30124941,2021-2022
Granada,84,508380,26435758,2021-2022
Alaves,72,463990,24127471,2021-2022
Mallorca,83,419208,21798801,2021-2022
Cadiz,89,390986,20331279,2021-2022
Levante,83,383049,19918540,2021-2022
Elche,73,378541,19684141,2021-2022
Osasuna,80,331211,17222987,2021-2022
Rayo Vallecano,76,208428,10838253,2021-2022
Real Madrid,46,6118122,318142363,2022-2023
Barcelona,49,5646252,293605104,2022-2023
Atletico de Madrid,45,3180078,165364046,2022-2023
Sevilla,52,1554607,80839544,2022-2023
Athletic Club,49,1332971,69314466,2022-2023
Villarreal,47,1139722,59265566,2022-2023
Valencia,48,1001358,52070594,2022-2023
Betis,52,909255,47281235,2022-2023
Real Sociedad,52,905890,47106283,2022-2023
Getafe,48,717373,37303408,2022-2023
Celta Vigo,43,672478,34968871,2022-2023
Espanyol,48,523389,27216235,2022-2023
Valladolid,48,397746,20682808,2022-2023
Mallorca,51,383552,19944720,2022-2023
Osasuna,43,371251,19305048,2022-2023
Cadiz,55,366730,19069955,2022-2023
Girona,50,364101,18933270,2022-2023
Elche,48,355690,18495887,2022-2023
Almeria,55,293657,15270179,2022-2023
Rayo Vallecano,51,266216,13843212,2022-2023
Real Madrid,47,5901659,306886288,2023-2024
Barcelona,50,4367604,227115409,2023-2024
Atletico de Madrid,51,3531654,183646029,2023-2024
Sevilla,55,1608040,83618104,2023-2024
