Equipo,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,Bloqueos,Temporada
Alaves,310.5,51.8,14.9,0.97,3.50,14.7,21.5,3.63,1.61,1.45,0.16,2.84,7.92,2017-2018
Athletic Club,409.6,51.2,15.2,1.13,4.68,21.5,21.6,4.97,2.21,2.47,0.05,2.74,10.1,2017-2018
Atletico de Madrid,438.6,47.5,13.3,1.63,3.53,13.8,20.7,4.39,1.13,2.32,0.11,2.82,9.63,2017-2018
Barcelona,624.5,49.4,15.1,2.97,5.97,10.8,19.7,5.66,2.13,1.74,0.03,3.53,10.1,2017-2018
Betis,519.6,47.8,16.1,1.39,6.11,14.1,17.3,3.66,1.61,0.87,0.13,1.63,8.00,2017-2018
Celta Vigo,503.6,48.5,15.7,1.18,5.66,15.3,18.9,4.03,1.26,0.89,0.03,2.42,8.50,2017-2018
Eibar,413.3,57.1,15.5,0.45,8.50,27.8,27.0,6.03,1.58,3.92,0.05,2.21,10.4,2017-2018
Espanyol,397.7,52.7,15.8,0.89,4.71,18.9,21.9,4.21,1.68,2.29,0.00,2.00,9.95,2017-2018
Getafe,289.3,55.0,15.5,1.39,6.39,15.4,24.1,4.76,1.11,1.92,0.05,2.84,8.95,2017-2018
Girona,368.9,51.0,15.9,0.82,8.92,21.8,20.2,4.63,0.95,1.74,0.53,2.11,7.84,2017-2018
Deportivo de La Coruna,392.7,51.5,13.6,1.13,5.84,19.7,20.9,5.34,2.39,1.42,0.03,2.47,8.50,2017-2018
Las Palmas,462.5,56.1,19.7,1.29,5.18,15.3,20.4,4.61,2.03,1.55,0.00,2.13,8.42,2017-2018
Leganes,336.3,52.9,15.6,0.76,4.26,18.2,23.4,4.00,1.58,1.97,0.03,2.55,9.24,2017-2018
Levante,335.1,51.7,14.2,1.16,4.24,19.1,21.5,4.79,1.61,2.08,0.24,1.84,9.47,2017-2018
Malaga,359.8,52.8,15.3,0.84,4.71,19.5,22.7,4.03,1.66,1.76,0.05,2.34,9.13,2017-2018
Real Madrid,591.7,49.9,14.8,2.03,10.4,23.8,19.2,7.34,1.63,2.89,0.05,3.03,10.2,2017-2018
Real Sociedad,493.3,52.7,15.9,1.18,5.68,20.6,21.7,6.13,2.63,2.45,0.00,2.39,10.1,2017-2018
Sevilla,485.6,52.2,14.9,1.63,3.87,17.3,21.3,5.82,2.55,2.11,0.03,3.61,10.6,2017-2018
Valencia,422.5,49.1,15.7,1.29,5.08,15.9,17.9,5.32,1.58,2.32,0.16,2.18,8.18,2017-2018
Villarreal,443.0,48.7,14.5,1.50,4.82,13.6,18.6,4.71,1.74,1.00,0.13,2.92,8.39,2017-2018
Alaves,316.5,52.0,15.5,0.55,3.18,19.2,21.5,3.82,1.55,1.42,0.05,1.53,9.00,2018-2019
Athletic Club,410.2,50.6,15.2,1.29,4.87,19.2,22.3,4.03,1.47,1.89,0.08,1.95,9.71,2018-2019
Atletico de Madrid,451.3,47.0,12.4,2.03,3.79,15.5,19.2,5.71,2.18,2.53,0.00,2.11,9.32,2018-2019
Barcelona,653.6,46.2,15.1,3.89,5.76,10.4,17.8,5.39,1.79,0.87,0.05,2.68,9.32,2018-2019
Betis,551.1,48.7,16.8,1.32,6.16,15.5,17.3,4.89,1.53,1.50,0.45,2.08,9.50,2018-2019
Celta Vigo,443.7,48.8,14.4,0.92,5.03,17.3,18.3,4.29,1.84,1.53,0.08,2.37,8.26,2018-2019
Eibar,428.3,56.2,14.4,0.53,7.55,27.8,27.4,5.87,0.95,4.00,0.11,2.42,12.2,2018-2019
Espanyol,414.4,50.2,15.2,1.84,4.58,14.3,19.3,4.61,1.18,1.55,0.37,2.21,10.0,2018-2019
Getafe,283.8,56.2,16.3,1.03,6.95,16.8,26.3,4.16,0.89,1.68,0.21,2.68,10.7,2018-2019
Girona,401.1,50.3,15.5,1.03,5.42,19.6,20.2,3.58,1.58,1.55,0.00,1.58,8.26,2018-2019
Huesca,338.6,50.8,14.2,0.87,4.24,20.3,21.3,4.42,2.26,1.45,0.13,2.47,9.05,2018-2019
Leganes,349.3,49.0,12.1,0.50,4.58,19.6,23.1,3.66,1.05,2.13,0.05,1.97,8.08,2018-2019
Levante,334.6,51.7,14.1,0.95,4.82,17.7,19.2,5.29,3.08,1.39,0.11,2.24,9.68,2018-2019
Rayo Vallecano,375.2,52.1,15.5,1.03,5.45,20.6,20.9,4.89,2.21,1.92,0.08,1.87,9.53,2018-2019
